"set";"pvalue";"beta_gender_male";"beta_ethnicity_other";"beta_ethnicity_afam";"beta_score";"beta_fcollege_no";"beta_mcollege_no";"beta_home_no";"beta_urban_no";"beta_unemp";"beta_wage";"sd_gender_male";"sd_ethnicity_other";"sd_ethnicity_afam";"sd_score";"sd_fcollege_no";"sd_mcollege_no";"sd_home_no";"sd_urban_no";"sd_unemp";"sd_wage"
"423";"0.01";"-0.007";"0.157";"0";"0";"-0.417";"-0.347";"0";"-0.008";"0";"0";"0.028";"0.03";"0";"0";"0.039";"0.045";"0";"0.034";"0";"0"
"424";"0.002";"-0.006";"0.156";"0";"0";"-0.42";"-0.349";"0";"0";"0.006";"0";"0.028";"0.03";"0";"0";"0.039";"0.045";"0";"0";"0.005";"0"
"425";"0";"-0.007";"0.156";"0";"0";"-0.417";"-0.347";"0";"0";"0";"0";"0.028";"0.03";"0";"0";"0.039";"0.045";"0";"0";"0";"0.011"
"426";"0.002";"-0.01";"0.151";"0";"0";"-0.536";"0";"-0.134";"-0.014";"0";"0";"0.028";"0.031";"0";"0";"0.035";"0";"0.037";"0.034";"0";"0"
"427";"0.005";"-0.009";"0.148";"0";"0";"-0.538";"0";"-0.132";"0";"0.004";"0";"0.028";"0.03";"0";"0";"0.035";"0";"0.037";"0";"0.005";"0"
"428";"0.001";"-0.009";"0.149";"0";"0";"-0.535";"0";"-0.133";"0";"0";"-0.002";"0.028";"0.031";"0";"0";"0.035";"0";"0.037";"0";"0";"0.011"
"429";"0.001";"-0.006";"0.165";"0";"0";"-0.545";"0";"0";"-0.007";"0.004";"0";"0.028";"0.03";"0";"0";"0.035";"0";"0";"0.034";"0.005";"0"
"430";"0.004";"-0.006";"0.164";"0";"0";"-0.542";"0";"0";"-0.006";"0";"0";"0.028";"0.031";"0";"0";"0.035";"0";"0";"0.034";"0";"0.011"
"431";"0.007";"-0.005";"0.165";"0";"0";"-0.545";"0";"0";"0";"0.004";"-0.003";"0.028";"0.03";"0";"0";"0.035";"0";"0";"0";"0.005";"0.011"
"432";"0.008";"0";"0.187";"0";"0";"0";"-0.544";"-0.139";"-0.011";"0";"0";"0.028";"0.031";"0";"0";"0";"0.041";"0.037";"0.034";"0";"0"
