"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"i-882497";"Z_4";"2";"sum";"FALSE";"2";"0.1";"10";"square";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"a-244365";"Z_1";"2";"sum";"TRUE";"2";"1";"0.2";"softplus";"100";"0.4355";"0.944";"0.9086";"0.9882";"1.0337";"0.4979";"0.4265";"0.4712";"0.4359";"0.9206";"0.9609";"0.9817";"0.9475";"1.0253";"1.0571";"0.4178";"0.5554";"0.5198";"0.4609";"0.4244";"0.5767";"0.9687";"1.0115";"0.9982";"1.0399";"0.3179";"0.3799";"0.5595";"0.5342";"1.0453";"0.2926"
"r-258981";"Z_2";"5";"product";"FALSE";"5";"10";"1";"cubic";"100";"0.003";"0";"0";"0";"0";"5e-04";"9e-04";"0.0026";"0.0011";"0";"0";"0";"0";"0";"0";"3e-04";"5e-04";"3e-04";"8e-04";"3e-04";"0.0011";"0";"0";"0";"0";"3e-04";"1e-04";"3e-04";"3e-04";"0";"1e-04"
"d-537093";"Z_5";"3";"sum";"TRUE";"3";"5";"1";"square";"100";"0.2339";"0.2436";"0.2682";"0.2156";"0.1129";"0.2123";"0.2774";"0.2262";"0.1082";"0.2807";"0.228";"0.1258";"0.2544";"0.0398";"0.0975";"0.2624";"0.2138";"0.0816";"0.269";"0.0368";"0.1013";"0.266";"0.0412";"0.1093";"0.0331";"0.2604";"0.0338";"0.0799";"0.0335";"0.0345";"0.0307"
"i-672853";"Z_5";"2";"sum";"FALSE";"2";"0.5";"0.2";"log";"100";"0.1279";"0.0913";"0.1261";"0.1221";"0.068";"0.0533";"0.1377";"0.0875";"0.03";"0.0404";"0.0998";"0.0179";"0.245";"0.011";"0.0287";"0.0447";"0.0697";"0.0247";"0.3174";"0.0147";"0.0237";"0.1253";"0.0083";"0.0312";"0.0239";"0.1311";"0.0141";"0.0195";"0.0272";"0.0207";"0.0274"
"c-123807";"Z_4";"100";"sum";"FALSE";"100";"0.5";"0.2";"log";"100";"0.3351";"0.1241";"0.7874";"0.0105";"0.1124";"0.3697";"0.738";"0.354";"0.379";"0.7707";"0.1228";"0.2356";"0.6911";"0.6322";"0.7112";"0.8572";"0.3834";"0.4444";"0.6611";"0.6465";"1.1546";"0.7064";"0.7221";"0.8808";"0.6611";"0.8218";"0.7874";"1.2086";"0.6042";"0.6181";"0.7707"
"q-264021";"Z_6";"5";"product";"TRUE";"5";"0.2";"5";"log";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.0028";"0";"0";"0";"0.002";"0.0021";"0.0029"
"w-429796";"Z_1";"3";"sum";"FALSE";"3";"0.1";"0";"softplus";"100";"0.7859";"0.9897";"0.9634";"1.0245";"1.0153";"1.015";"0.763";"0.6567";"0.8144";"1.0729";"1.0116";"0.9689";"0.9887";"1.0382";"1.0238";"1.0034";"0.8864";"0.9708";"0.6332";"0.7752";"0.7171";"1.0944";"1.0771";"1.0178";"1.0427";"0.8728";"0.949";"0.8598";"0.7115";"1.1008";"0.8578"
"m-996725";"Z_1";"3";"product";"TRUE";"3";"10";"0.2";"log";"100";"0";"0";"0";"0.7679";"0.6345";"0.0255";"0";"0";"0";"0";"0";"0";"0";"6e-04";"0.0263";"0.1832";"0.0216";"0.0247";"0";"0";"1e-04";"0";"0";"0";"0.0392";"0.1634";"0.1477";"0.0202";"1e-04";"0";"0.1855"
"v-530128";"Z_5";"100";"product";"TRUE";"100";"1";"2";"square";"100";"0.3719";"0.4586";"0.6237";"0.6421";"0.7044";"0.3906";"0.4586";"0.1791";"0.5116";"0.4883";"0.2348";"0.7754";"0.6421";"0.1998";"1.041";"0.4167";"0.1664";"0.5277";"0.1998";"0.0276";"0.3368";"0.2654";"0.0263";"0.5696";"0.0594";"0.2148";"0.0295";"0.3149";"0.0161";"0.0177";"0.0173"
