"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"h-762645";"Z_5";"50";"product";"TRUE";"50";"2";"2";"square";"500";"1.2461";"1.5414";"0.6361";"0.7379";"1e-04";"1.248";"1.0776";"1.2433";"0.0143";"1.0479";"1.1853";"0.0393";"0.6289";"0.1324";"8e-04";"1.2462";"1.2444";"0.0056";"1.1474";"0.1235";"0.0134";"1.1266";"0.0934";"0.0313";"0.0076";"1.2017";"0.1222";"0.0181";"0.011";"0.0062";"0.0069"
"u-426578";"Z_2";"2";"sum";"TRUE";"2";"2";"2";"square";"500";"1e-04";"0";"0";"0";"0";"1e-04";"1e-04";"1e-04";"1e-04";"0";"0";"0";"0";"0";"0";"1e-04";"1e-04";"0";"1e-04";"1e-04";"1e-04";"0";"0";"0";"0";"1e-04";"0";"1e-04";"1e-04";"0";"1e-04"
"b-126145";"Z_2";"10";"product";"TRUE";"10";"0";"10";"square";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"i-184072";"Z_4";"100";"product";"TRUE";"100";"1";"2";"softplus";"500";"0";"0";"0";"0";"0.3723";"0";"0";"0";"0.3461";"0";"0";"0.352";"0";"0";"0.2054";"0";"0";"0.2321";"0";"0";"0.2176";"0";"0";"0.3177";"0";"0";"0";"0.2909";"0";"0";"0"
"t-301997";"Z_6";"10";"sum";"FALSE";"10";"2";"1";"softplus";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.0053";"0";"0";"0";"0.0065";"0.0052";"0.0065"
"z-241192";"Z_4";"10";"sum";"TRUE";"10";"0.2";"5";"cubic";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"w-524800";"Z_3";"10";"sum";"FALSE";"10";"2";"0.1";"cubic";"500";"0";"0";"0.324";"0.5259";"0.3339";"0";"0";"0";"0.0069";"0.053";"0";"0";"0.324";"0.1232";"0.3603";"0.0607";"0";"0";"0";"0.0688";"0.007";"0.0162";"0";"0";"0.1336";"5e-04";"0";"0";"0.0693";"0";"0"
"t-715707";"Z_6";"5";"product";"TRUE";"5";"5";"5";"square";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"e-886190";"Z_4";"100";"product";"FALSE";"100";"0.1";"0.1";"softplus";"500";"0";"9e-04";"5e-04";"0";"0.0081";"0";"3e-04";"0";"6e-04";"5e-04";"6e-04";"0.0026";"6e-04";"5e-04";"0.0017";"3e-04";"0";"2e-04";"3e-04";"3e-04";"4e-04";"6e-04";"5e-04";"9e-04";"7e-04";"3e-04";"3e-04";"1e-04";"4e-04";"7e-04";"3e-04"
"s-402566";"Z_6";"100";"sum";"FALSE";"100";"2";"0";"softplus";"500";"0";"0";"0";"0";"0";"0";"0";"0";"1e-04";"0";"0";"0";"0";"2e-04";"0";"0";"0";"0";"0";"3e-04";"0";"0";"3e-04";"0";"4e-04";"0";"4e-04";"0";"4e-04";"4e-04";"5e-04"
"o-539074";"Z_5";"2";"sum";"TRUE";"2";"1";"0.2";"square";"500";"0.8718";"0.8847";"0.9701";"0.9606";"1.5954";"0.7285";"0.8616";"0.8478";"1.5983";"0.8491";"0.8566";"1.6443";"0.959";"0.0138";"1.6172";"0.7153";"0.7109";"1.6387";"0.8378";"0.0148";"1.6245";"0.8255";"0.0102";"1.6699";"0.0128";"0.6979";"0.0107";"1.6674";"0.0133";"0.0088";"0.0093"
"c-266680";"Z_6";"10";"sum";"FALSE";"10";"0.5";"0.1";"cubic";"500";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"y-195960";"Z_6";"5";"product";"TRUE";"5";"0.2";"0";"log";"500";"1.8642";"1.6755";"1.8631";"1.8375";"0.7366";"1.8586";"1.8668";"1.8711";"0.3977";"1.8906";"1.8811";"0.7545";"1.8735";"1.0601";"0.3224";"1.9085";"1.8648";"0.2409";"1.8777";"1.1676";"0.8318";"1.8967";"1.0321";"0.972";"1.3725";"1.9148";"1.5253";"0.7602";"1.3631";"1.3239";"1.3181"
"n-621130";"Z_1";"50";"product";"FALSE";"50";"0.5";"1";"softplus";"500";"0.2355";"0.385";"1.244";"0.8294";"0.8422";"0";"0.0196";"0.2374";"0.1492";"0.3207";"0.2815";"0.3434";"1.1946";"1.1669";"0.3349";"0";"0";"0";"0.0207";"0.0188";"0.0306";"0.2342";"0.281";"0.4581";"0.3593";"0";"0";"0";"0.0096";"0.3867";"0"
